('g1_A', 'green') - ('g4_B', 'blue'), 119.8441
('g4_B', 'blue') - ('g1_A', 'green'), 119.8441
('g1_A', 'green') - ('g4_C', 'red'), 152.7011
('g4_C', 'red') - ('g1_A', 'green'), 152.7011
('g1_A', 'green') - ('g4_C', 'green'), 141.5882
('g4_C', 'green') - ('g1_A', 'green'), 141.5882
('g1_A', 'green') - ('g4_C', 'white'), 161.2293
('g4_C', 'white') - ('g1_A', 'green'), 161.2293
('g1_A', 'green') - ('g4_C', 'blue'), 147.3257
('g4_C', 'blue') - ('g1_A', 'green'), 147.3257
('g1_A', 'green') - ('g5_A', 'red'), 54.5888
('g5_A', 'red') - ('g1_A', 'green'), 54.5888
('g1_A', 'green') - ('g5_A', 'green'), 42.7152
('g5_A', 'green') - ('g1_A', 'green'), 42.7152
('g1_A', 'green') - ('g5_A', 'white'), 63.1576
('g5_A', 'white') - ('g1_A', 'green'), 63.1576
('g1_A', 'green') - ('g5_A', 'blue'), 52.6391
('g5_A', 'blue') - ('g1_A', 'green'), 52.6391
('g1_A', 'green') - ('g5_B', 'red'), 120.0515
('g5_B', 'red') - ('g1_A', 'green'), 120.0515
('g1_A', 'green') - ('g5_B', 'green'), 110.2113
('g5_B', 'green') - ('g1_A', 'green'), 110.2113
('g1_A', 'green') - ('g5_B', 'white'), 130.7508
('g5_B', 'white') - ('g1_A', 'green'), 130.7508
('g1_A', 'green') - ('g5_B', 'blue'), 119.8331
('g5_B', 'blue') - ('g1_A', 'green'), 119.8331
('g1_A', 'white') - ('g1_A', 'blue'), 14.4853
('g1_A', 'blue') - ('g1_A', 'white'), 14.4853
('g1_A', 'white') - ('g1_B', 'red'), 74.6926
('g1_B', 'red') - ('g1_A', 'white'), 74.6926
('g1_A', 'white') - ('g1_B', 'green'), 76.5728
('g1_B', 'green') - ('g1_A', 'white'), 76.5728
('g1_A', 'white') - ('g1_B', 'white'), 89.0893
('g1_B', 'white') - ('g1_A', 'white'), 89.0893
('g1_A', 'white') - ('g1_B', 'blue'), 90.9107
('g1_B', 'blue') - ('g1_A', 'white'), 90.9107
('g1_A', 'white') - ('g2_A', 'red'), 38.4118
('g2_A', 'red') - ('g1_A', 'white'), 38.4118
('g1_A', 'white') - ('g2_A', 'green'), 52.7881
('g2_A', 'green') - ('g1_A', 'white'), 52.7881
('g1_A', 'white') - ('g2_A', 'white'), 42.3128
('g2_A', 'white') - ('g1_A', 'white'), 42.3128
('g1_A', 'white') - ('g2_A', 'blue'), 55.8972
('g2_A', 'blue') - ('g1_A', 'white'), 55.8972
('g1_A', 'white') - ('g2_B', 'red'), 58.7017
('g2_B', 'red') - ('g1_A', 'white'), 58.7017
('g1_A', 'white') - ('g2_B', 'green'), 70.0809
('g2_B', 'green') - ('g1_A', 'white'), 70.0809
('g1_A', 'white') - ('g2_B', 'white'), 68.4979
('g2_B', 'white') - ('g1_A', 'white'), 68.4979
('g1_A', 'white') - ('g2_B', 'blue'), 79.1794
('g2_B', 'blue') - ('g1_A', 'white'), 79.1794
('g1_A', 'white') - ('g2_C', 'red'), 89.8007
('g2_C', 'red') - ('g1_A', 'white'), 89.8007
('g1_A', 'white') - ('g2_C', 'green'), 100.0974
('g2_C', 'green') - ('g1_A', 'white'), 100.0974
('g1_A', 'white') - ('g2_C', 'white'), 99.7153
('g2_C', 'white') - ('g1_A', 'white'), 99.7153
('g1_A', 'white') - ('g2_C', 'blue'), 110.3377
('g2_C', 'blue') - ('g1_A', 'white'), 110.3377
('g1_A', 'white') - ('g3_A', 'red'), 84.7621
('g3_A', 'red') - ('g1_A', 'white'), 84.7621
('g1_A', 'white') - ('g3_A', 'green'), 89.9611
('g3_A', 'green') - ('g1_A', 'white'), 89.9611
('g1_A', 'white') - ('g3_A', 'white'), 98.2387
('g3_A', 'white') - ('g1_A', 'white'), 98.2387
('g1_A', 'white') - ('g3_A', 'blue'), 103.5274
('g3_A', 'blue') - ('g1_A', 'white'), 103.5274
('g1_A', 'white') - ('g3_B', 'red'), 125.1677
('g3_B', 'red') - ('g1_A', 'white'), 125.1677
('g1_A', 'white') - ('g3_B', 'green'), 131.8041
('g3_B', 'green') - ('g1_A', 'white'), 131.8041
('g1_A', 'white') - ('g3_B', 'white'), 136.7968
('g3_B', 'white') - ('g1_A', 'white'), 136.7968
('g1_A', 'white') - ('g3_B', 'blue'), 145.0392
('g3_B', 'blue') - ('g1_A', 'white'), 145.0392
('g1_A', 'white') - ('g3_C', 'red'), 151.5579
('g3_C', 'red') - ('g1_A', 'white'), 151.5579
('g1_A', 'white') - ('g3_C', 'green'), 165.9095
('g3_C', 'green') - ('g1_A', 'white'), 165.9095
('g1_A', 'white') - ('g3_C', 'white'), 149.4320
('g3_C', 'white') - ('g1_A', 'white'), 149.4320
('g1_A', 'white') - ('g3_C', 'blue'), 162.1084
('g3_C', 'blue') - ('g1_A', 'white'), 162.1084
('g1_A', 'white') - ('g4_A', 'red'), 80.2847
('g4_A', 'red') - ('g1_A', 'white'), 80.2847
('g1_A', 'white') - ('g4_A', 'green'), 69.6623
('g4_A', 'green') - ('g1_A', 'white'), 69.6623
('g1_A', 'white') - ('g4_A', 'white'), 90.1993
('g4_A', 'white') - ('g1_A', 'white'), 90.1993
('g1_A', 'white') - ('g4_A', 'blue'), 79.9026
('g4_A', 'blue') - ('g1_A', 'white'), 79.9026
('g1_A', 'white') - ('g4_B', 'red'), 111.5021
('g4_B', 'red') - ('g1_A', 'white'), 111.5021
('g1_A', 'white') - ('g4_B', 'green'), 100.8206
('g4_B', 'green') - ('g1_A', 'white'), 100.8206
('g1_A', 'white') - ('g4_B', 'white'), 121.2983
('g4_B', 'white') - ('g1_A', 'white'), 121.2983
('g1_A', 'white') - ('g4_B', 'blue'), 109.9191
('g4_B', 'blue') - ('g1_A', 'white'), 109.9191
('g1_A', 'white') - ('g4_C', 'red'), 137.6872
('g4_C', 'red') - ('g1_A', 'white'), 137.6872
('g1_A', 'white') - ('g4_C', 'green'), 124.1028
('g4_C', 'green') - ('g1_A', 'white'), 124.1028
('g1_A', 'white') - ('g4_C', 'white'), 141.5882
('g4_C', 'white') - ('g1_A', 'white'), 141.5882
('g1_A', 'white') - ('g4_C', 'blue'), 127.2119
('g4_C', 'blue') - ('g1_A', 'white'), 127.2119
('g1_A', 'white') - ('g5_A', 'red'), 52.6391
('g5_A', 'red') - ('g1_A', 'white'), 52.6391
('g1_A', 'white') - ('g5_A', 'green'), 38.2573
('g5_A', 'green') - ('g1_A', 'white'), 38.2573
('g1_A', 'white') - ('g5_A', 'white'), 55.7157
('g5_A', 'white') - ('g1_A', 'white'), 55.7157
('g1_A', 'white') - ('g5_A', 'blue'), 42.1233
('g5_A', 'blue') - ('g1_A', 'white'), 42.1233
('g1_A', 'white') - ('g5_B', 'red'), 99.9450
('g5_B', 'red') - ('g1_A', 'white'), 99.9450
('g1_A', 'white') - ('g5_B', 'green'), 89.6733
('g5_B', 'green') - ('g1_A', 'white'), 89.6733
('g1_A', 'white') - ('g5_B', 'white'), 110.2113
('g5_B', 'white') - ('g1_A', 'white'), 110.2113
('g1_A', 'white') - ('g5_B', 'blue'), 99.6181
('g5_B', 'blue') - ('g1_A', 'white'), 99.6181
('g1_A', 'blue') - ('g1_B', 'red'), 76.5728
('g1_B', 'red') - ('g1_A', 'blue'), 76.5728
('g1_A', 'blue') - ('g1_B', 'green'), 74.6926
('g1_B', 'green') - ('g1_A', 'blue'), 74.6926
('g1_A', 'blue') - ('g1_B', 'white'), 90.9107
('g1_B', 'white') - ('g1_A', 'blue'), 90.9107
('g1_A', 'blue') - ('g1_B', 'blue'), 89.0893
('g1_B', 'blue') - ('g1_A', 'blue'), 89.0893
('g1_A', 'blue') - ('g2_A', 'red'), 27.2989
('g2_A', 'red') - ('g1_A', 'blue'), 27.2989
